"beer_1" "beer_2" "difference"
"International Pale Lager" "Baltic Porter" "0.883561076604555"
"International Pale Lager" "Foreign Extra Stout" "0.923333333333333"
"International Pale Lager" "Imperial Stout" "0.958580413297394"
"International Pale Lager" "British Brown Ale" "0.897319034852547"
"International Pale Lager" "Belgian Dark Strong Ale" "0.878525641025641"
"International Pale Lager" "Brown Porter" "0.903333333333333"
"International Pale Lager" "Specialty IPA: Red IPA" "0.853720930232558"
"International Pale Lager" "Dry Stout" "0.971349380014588"
"International Pale Lager" "Strong Bitter" "0.851890547263682"
"International Pale Lager" "Russian Imperial Stout" "0.967450980392157"
"International Pale Lager" "Belgian Dubbel" "0.856957928802589"
"International Pale Lager" "Specialty IPA: Black IPA" "0.915"
"International Pale Lager" "American Porter" "0.926639892904953"
"International Pale Lager" "Double IPA" "0.852397731875253"
"International Pale Lager" "Robust Porter" "0.933218390804598"
"International Pale Lager" "Sweet Stout" "0.954080854309687"
"International Pale Lager" "Oatmeal Stout" "0.945814536340852"
"International Pale Lager" "American Brown Ale" "0.896215895610913"
"International Pale Lager" "American Stout" "0.946815550041357"
"Specialty IPA: Rye IPA" "Baltic Porter" "0.883756457416229"
"Specialty IPA: Rye IPA" "Foreign Extra Stout" "0.930202046706901"
"Specialty IPA: Rye IPA" "Imperial Stout" "0.95631504112911"
"Specialty IPA: Rye IPA" "Belgian Dark Strong Ale" "0.858165297485686"
"Specialty IPA: Rye IPA" "Brown Porter" "0.926121128062876"
"Specialty IPA: Rye IPA" "Dry Stout" "0.944615580718489"
"Specialty IPA: Rye IPA" "Russian Imperial Stout" "0.954597372929754"
"Specialty IPA: Rye IPA" "Specialty IPA: Black IPA" "0.890857605177994"
"Specialty IPA: Rye IPA" "American Porter" "0.938628299606192"
"Specialty IPA: Rye IPA" "Robust Porter" "0.94570918424283"
"Specialty IPA: Rye IPA" "Sweet Stout" "0.942662164063599"
"Specialty IPA: Rye IPA" "Oatmeal Stout" "0.952599946468112"
"Specialty IPA: Rye IPA" "American Stout" "0.925060428662057"
"Holiday/Winter Special Spiced Beer" "Munich Helles" "0.883763765714843"
"Holiday/Winter Special Spiced Beer" "Berliner Weisse" "0.870188807044281"
"Holiday/Winter Special Spiced Beer" "Russian Imperial Stout" "0.876091081593928"
"Holiday/Winter Special Spiced Beer" "American Wheat Beer" "0.85822299473442"
"Holiday/Winter Special Spiced Beer" "Kölsch" "0.88778801843318"
"Holiday/Winter Special Spiced Beer" "Blonde Ale" "0.851914733069232"
"Standard/Ordinary Bitter" "Baltic Porter" "0.882057031730598"
"Standard/Ordinary Bitter" "Belgian Golden Strong Ale" "0.855100132470973"
"Standard/Ordinary Bitter" "Foreign Extra Stout" "0.949649329841023"
"Standard/Ordinary Bitter" "Imperial Stout" "0.963159753020504"
"Standard/Ordinary Bitter" "Belgian Dark Strong Ale" "0.895298291963627"
"Standard/Ordinary Bitter" "Brown Porter" "0.856290886961814"
"Standard/Ordinary Bitter" "Dry Stout" "0.947001209443446"
"Standard/Ordinary Bitter" "Russian Imperial Stout" "0.979377310029443"
"Standard/Ordinary Bitter" "Belgian Tripel" "0.878160526331865"
"Standard/Ordinary Bitter" "Specialty IPA: Black IPA" "0.928743343982961"
"Standard/Ordinary Bitter" "American Porter" "0.934977396273058"
"Standard/Ordinary Bitter" "Double IPA" "0.884525949246697"
"Standard/Ordinary Bitter" "Robust Porter" "0.944284087987955"
"Standard/Ordinary Bitter" "Sweet Stout" "0.953845928893633"
"Standard/Ordinary Bitter" "Oatmeal Stout" "0.947725315113434"
"Standard/Ordinary Bitter" "American Stout" "0.941696593969087"
